Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        2432 number of functions
        2432 number of names

    ordinal hint RVA      name

              9    0 00040280 A_SHAFinal
             10    1 000410B0 A_SHAInit
             11    2 000410F0 A_SHAUpdate
             12    3 000E0940 AlpcAdjustCompletionListConcurrencyCount
             13    4 00070730 AlpcFreeCompletionListMessage
             14    5 000E0970 AlpcGetCompletionListLastMessageInformation
             15    6 000E0990 AlpcGetCompletionListMessageAttributes
             16    7 00070460 AlpcGetHeaderSize
             17    8 00070420 AlpcGetMessageAttribute
             18    9 00010A60 AlpcGetMessageFromCompletionList
             19    A 00085DB0 AlpcGetOutstandingCompletionListMessageCount
             20    B 000703C0 AlpcInitializeMessageAttribute
             21    C 00084A10 AlpcMaxAllowedMessageLength
             22    D 00085C30 AlpcRegisterCompletionList
             23    E 00075240 AlpcRegisterCompletionListWorkerThread
             24    F 00085D70 AlpcRundownCompletionList
             25   10 00085D90 AlpcUnregisterCompletionList
             26   11 000751E0 AlpcUnregisterCompletionListWorkerThread
             27   12 00076EA0 ApiSetQueryApiSetPresence
             28   13 000691B0 ApiSetQueryApiSetPresenceEx
             29   14 00008D50 CsrAllocateCaptureBuffer
             30   15 00008D00 CsrAllocateMessagePointer
             31   16 00008850 CsrCaptureMessageBuffer
             32   17 00008B40 CsrCaptureMessageMultiUnicodeStringsInPlace
             33   18 00008C50 CsrCaptureMessageString
             34   19 000CB5F0 CsrCaptureTimeout
             35   1A 000089A0 CsrClientCallServer
             36   1B 00008E20 CsrClientConnectToServer
             37   1C 00008970 CsrFreeCaptureBuffer
             38   1D 000CB620 CsrGetProcessId
             39   1E 000843E0 CsrIdentifyAlertableThread
             40   1F 000D5490 CsrSetPriorityClass
             41   20 000CB640 CsrVerifyRegion
             42   21 000A0B70 DbgBreakPoint
             43   22 000509B0 DbgPrint
             44   23 00050340 DbgPrintEx
             45   24 000E09D0 DbgPrintReturnControlC
             46   25 000E0A20 DbgPrompt
             47   26 000E0A70 DbgQueryDebugFilterState
             48   27 000E0A80 DbgSetDebugFilterState
             49   28 000CC740 DbgUiConnectToDbg
             50   29 000CC7B0 DbgUiContinue
             51   2A 000CC7E0 DbgUiConvertStateChangeStructure
             52   2B 000CC7F0 DbgUiConvertStateChangeStructureEx
             53   2C 000CCAA0 DbgUiDebugActiveProcess
             54   2D 000CCB10 DbgUiGetThreadDebugObject
             55   2E 000CCB30 DbgUiIssueRemoteBreakin
             56   2F 000CCBA0 DbgUiRemoteBreakin
             57   30 000CCC00 DbgUiSetThreadDebugObject
             58   31 000CCC20 DbgUiStopDebugging
             59   32 000CCC40 DbgUiWaitStateChange
             60   33 000A0B80 DbgUserBreakPoint
             61   34 00085BA0 EtwCheckCoverage
             62   35 00110960 EtwCreateTraceInstanceId
             63   36 000452F0 EtwDeliverDataBlock
             64   37 00110540 EtwEnumerateProcessRegGuids
             65   38 0005B6E0 EtwEventActivityIdControl
             66   39 00050D50 EtwEventEnabled
             67   3A 00074AA0 EtwEventProviderEnabled
             68   3B 00042EC0 EtwEventRegister
             69   3C 00042B30 EtwEventSetInformation
             70   3D 000503D0 EtwEventUnregister
             71   3E 0004F1F0 EtwEventWrite
             72   3F 0004EC20 EtwEventWriteEndScenario
             73   40 0004F1A0 EtwEventWriteEx
             74   41 0004F150 EtwEventWriteFull
